"1","AGS","31/03/2016","1","AGUASCALIENTES","183","262.126,31","3","13.108,75","1","122,26","0","0,00","275.235,06","128.205,51","138.546,05","8.483,50","4.446,97","2.406,29","41.735","13.99","33.436","136.903,02","138.546,05","3.596,82","7.739","28.729","116","4.917","9.278","32.706,76","0.0817","A"
"2","BC","31/03/2016","2","BAJA CALIFORNIA","232","5.561.260,09","3","214.479,23","3","5.275,12",,"0,00","5.775.739,32","2.564.216,38","3.176.706,98","14.862,28","685,72","3,51","29.245","8.54","24.292","2.893.165,69","3.176.706,98","2.973,55","7.848","17.937","125","3.052","5.256","875.252,13","0.0817","B"
"3","BCS","31/03/2016","3","BAJA CALIFORNIA SUR","96","4.930.051,25","0","0,00","3","141.116,04","0","0,00","4.930.051,25","304.026,06","4.615.674,86","10.350,33","2.071,39","5.909,29","30.555","6.747","11.229","477.130,50","4.615.674,86","1.960,37","3.429","10.564","59","3.699","11.416","135.416,07","0.0817","C"
"4","CAMP","31/03/2016","4","CAMPECHE","375","2.977.321,51","0","0,00","10","162.863,65","0","0,00","2.977.321,51","693.528,46","2.245.782,64","34.689,87","13.664,84","13.036,09","41.275","29.512","35.668","734.429,16","2.245.782,64","6.538,33","10.232","53.637","45","1.47","2.908","49.397,63","0.0801","D"
"5","CHIS","31/03/2016","7","CHIAPAS","2.662","2.807.069,40","75","743.428,30","468","791.440,07","15","95.858,37","3.550.497,70","1.645.465,75","1.836.252,22","64.833,36","34.616,30","4.884,15","433.43","121.75","151.05","1.465.034,46","1.836.252,22","17.807,23","84.481","283.71","99","1.228","1.697","12.227,89","0.0818","F"
"6","CHIH","31/03/2016","8","CHIHUAHUA","893","9.362.027,42","70","527.209,34","15","100.713,76","2","59.262,00","9.889.236,76","835.835,09","8.947.556,00","44.893,64","17.504,03","14.477,19","119.69","85.553","73.656","1.227.035,44","8.947.556,00","24.522,26","26.782","103.15","121","3.554","9.932","294.778,67","0.0818","G"
"7","COAH","31/03/2016","5","COAHUILA DE ZARAGOZA","877","6.468.946,42","2","11.509,27","12","115.270,05","0","0,00","6.480.455,69","2.031.287,79","4.415.641,94","33.517,59","13.913,66","5.951,80","134.94","42.878","94.132","2.438.316,59","4.415.641,94","14.611,38","21.999","74.983","279","5.718","16.953","522.507,54","0.0818","H"
"8","COL","31/03/2016","6","COLIMA","164","307.832,90","2","5.926,84","1","545,69","0","0,00","313.759,73","244.886,97","65.230,34","3.642,42","548,83","85,30","24.135","6.413","17.219","242.468,59","65.230,34","1.742,16","6.436","18.051","100","1.931","2.784","25.521,02","0.0818","I"
"9","CDMX","31/03/2016","9","DISTRITO FEDERAL","16","4.751,39","0","0,00","26","6.040,38","8","22.419,28","4.751,39","3.907,32","683,78","23,97","20,49","0,00","4.347","1.008","319","3.459,67","683,78","43,01","606","1.24","3","536","762","1.119,37","0.0818","J"
"10","DGO","31/03/2016","10","DURANGO","982","5.747.544,54","125","2.118.168,01","5","19.879,21","5","425.019,14","7.865.712,55","819.438,29","7.000.699,49","32.872,32","17.238,17","8.521,71","162.64","108.26","108.99","864.286,80","7.000.699,49","11.633,44","37.825","127.61","179","4.504","9.952","76.752,46","0.0818","K"
"11","GTO","31/03/2016","11","GUANAJUATO","1.501","1.223.730,61","5","6.893,51","64","86.743,33","2","1.921,35","1.230.624,12","705.851,84","484.504,88","38.717,68","30.841,79","4.003,43","284.53","68.281","177.78","646.469,29","484.504,88","21.001,96","58.77","170.70","567","13.18","23.693","68.436,07","0.0818","L"
"12","GRO","31/03/2016","12","GUERRERO","1.021","3.049.506,58","179","1.480.358,88","33","127.769,43","18","186.407,87","4.529.865,46","1.870.411,42","2.582.382,03","75.545,99","10.988,29","1.032,14","282.61","122.98","83.799","1.481.092,05","2.582.382,03","9.609,64","100.35","214.63","66","1.495","2.525","12.196,46","0.0818","M"
